nome,cpu%,ram%,status,dataHora
System Idle Process,838.4,0.0,TIME_WAIT,2025-04-27_16-29-22
System,0.0,0.0,NONE,2025-04-27_16-29-22
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-29-22
Registry,0.0,0.15,NONE,2025-04-27_16-29-22
smss.exe,0.0,0.0,NONE,2025-04-27_16-29-22
csrss.exe,0.0,0.04,NONE,2025-04-27_16-29-22
svchost.exe,0.0,3.94,NONE,2025-04-27_16-29-22
AcerSense.exe,0.0,1.88,NONE,2025-04-27_16-29-22
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-29-22
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-29-22
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-29-22
Photos.exe,0.0,0.42,NONE,2025-04-27_16-29-22
services.exe,0.0,0.07,LISTEN,2025-04-27_16-29-22
LsaIso.exe,0.0,0.02,NONE,2025-04-27_16-29-22
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-29-23
conhost.exe,0.0,0.08,NONE,2025-04-27_16-29-23
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-29-23
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-29-23
dwm.exe,96.4,1.28,NONE,2025-04-27_16-29-23
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-29-23
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-29-23
WindowsTerminal.exe,0.0,0.59,NONE,2025-04-27_16-29-23
msedge.exe,0.0,15.22,NONE,2025-04-27_16-29-23
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-29-24
Discord.exe,0.0,2.14,NONE,2025-04-27_16-29-24
Code.exe,132.1,11.03,NONE,2025-04-27_16-29-24
explorer.exe,0.0,1.45,NONE,2025-04-27_16-29-24
crashpad_handler.exe,0.0,0.01,NONE,2025-04-27_16-29-25
MemCompression,0.0,6.53,NONE,2025-04-27_16-29-25
jetbrains-toolbox.exe,0.0,1.02,LISTEN,2025-04-27_16-29-25
RtkAudUService64.exe,0.0,0.1,NONE,2025-04-27_16-29-25
WmiPrvSE.exe,0.0,0.19,NONE,2025-04-27_16-29-25
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-29-26
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-29-26
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-29-26
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-29-26
servicehost.exe,0.0,0.15,NONE,2025-04-27_16-29-26
RuntimeBroker.exe,0.0,0.34,NONE,2025-04-27_16-29-26
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-29-26
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-29-27
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-29-27
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-29-27
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-29-27
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-29-27
AcerSystemCentralService.exe,0.0,0.05,NONE,2025-04-27_16-29-27
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-29-27
AcerQAAgent.exe,0.0,0.03,LISTEN,2025-04-27_16-29-27
AcerEZService.exe,0.0,0.08,LISTEN,2025-04-27_16-29-27
OneApp.IGCC.WinService.exe,0.0,0.06,NONE,2025-04-27_16-29-27
IntelAudioService.exe,0.0,0.04,NONE,2025-04-27_16-29-27
GooglePlayGamesServices.exe,0.0,0.14,NONE,2025-04-27_16-29-27
MpDefenderCoreService.exe,0.0,0.04,NONE,2025-04-27_16-29-27
ARTAimmxService.exe,0.0,0.0,NONE,2025-04-27_16-29-27
ipf_uf.exe,0.0,0.0,NONE,2025-04-27_16-29-27
mysqld.exe,0.0,0.05,NONE,2025-04-27_16-29-27
WidgetService.exe,0.0,0.03,NONE,2025-04-27_16-29-28
WMIRegistrationService.exe,0.0,0.0,NONE,2025-04-27_16-29-28
MsMpEng.exe,0.0,1.65,NONE,2025-04-27_16-29-28
ipfsvc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-29-28
wslservice.exe,0.0,0.05,NONE,2025-04-27_16-29-28
AcerSysMonitorService.exe,0.0,0.0,LISTEN,2025-04-27_16-29-28
dllhost.exe,0.0,0.02,NONE,2025-04-27_16-29-28
UserOOBEBroker.exe,0.0,0.0,NONE,2025-04-27_16-29-28
SearchIndexer.exe,0.0,0.19,NONE,2025-04-27_16-29-28
AggregatorHost.exe,0.0,0.03,NONE,2025-04-27_16-29-28
unsecapp.exe,0.0,0.03,NONE,2025-04-27_16-29-29
msedgewebview2.exe,0.0,0.3,NONE,2025-04-27_16-29-29
OpenConsole.exe,0.0,0.05,NONE,2025-04-27_16-29-29
AcerService.exe,0.0,0.02,LISTEN,2025-04-27_16-29-29
taskhostw.exe,0.0,0.12,NONE,2025-04-27_16-29-29
uihost.exe,0.0,0.16,NONE,2025-04-27_16-29-29
sihost.exe,0.0,0.16,NONE,2025-04-27_16-29-29
ipf_helper.exe,0.0,0.02,NONE,2025-04-27_16-29-29
HostAppServiceUpdater.exe,0.0,0.0,NONE,2025-04-27_16-29-29
pet.exe,0.0,0.02,NONE,2025-04-27_16-29-29
ADESv2BW.exe,0.0,0.0,NONE,2025-04-27_16-29-29
NisSrv.exe,0.0,0.04,NONE,2025-04-27_16-29-29
StartMenuExperienceHost.exe,0.0,0.14,NONE,2025-04-27_16-29-29
SearchHost.exe,0.0,0.06,NONE,2025-04-27_16-29-30
SecurityHealthSystray.exe,0.0,0.01,NONE,2025-04-27_16-29-30
Widgets.exe,0.0,0.16,NONE,2025-04-27_16-29-30
powershell.exe,0.0,0.83,NONE,2025-04-27_16-29-30
ACCUserPS.exe,0.0,0.0,NONE,2025-04-27_16-29-30
ctfmon.exe,0.0,0.12,NONE,2025-04-27_16-29-30
AQAUserPS.exe,0.0,0.05,ESTABLISHED,2025-04-27_16-29-30
AcerSysHardwareService.exe,0.0,0.0,NONE,2025-04-27_16-29-30
StorPSCTL.exe,0.0,0.06,NONE,2025-04-27_16-29-31
SecurityHealthService.exe,0.0,0.02,NONE,2025-04-27_16-29-31
ShellHost.exe,0.0,0.07,NONE,2025-04-27_16-29-31
ssh.exe,0.0,0.06,ESTABLISHED,2025-04-27_16-29-31
MySQLWorkbench.exe,0.0,0.49,ESTABLISHED,2025-04-27_16-29-31
FileSyncHelper.exe,0.0,0.01,NONE,2025-04-27_16-29-31
OneDrive.exe,0.0,0.35,ESTABLISHED,2025-04-27_16-29-32
Microsoft.SharePoint.exe,0.0,0.1,LISTEN,2025-04-27_16-29-32
cmd.exe,0.0,0.0,NONE,2025-04-27_16-29-32
CrossDeviceService.exe,0.0,0.08,NONE,2025-04-27_16-29-32
jusched.exe,0.0,0.0,NONE,2025-04-27_16-29-32
FileCoAuth.exe,0.0,0.11,NONE,2025-04-27_16-29-32
SnippingTool.exe,0.0,0.1,NONE,2025-04-27_16-29-32
backgroundTaskHost.exe,0.0,0.02,NONE,2025-04-27_16-29-32
audiodg.exe,0.0,0.2,NONE,2025-04-27_16-29-32
python.exe,0.0,0.91,ESTABLISHED,2025-04-27_16-29-32
Notepad.exe,0.0,0.16,NONE,2025-04-27_16-29-32
